Multiple, Synchronized, Thread Num, my_pthread Avg Time, Reg pthread Avg Time
500000000.000000, 1, 1, 0.715641, 0.709643
500000000.000000, 1, 2, 1.421438, 1.417163
500000000.000000, 1, 3, 2.122569, 2.129588
500000000.000000, 1, 4, 2.823752, 2.836056
500000000.000000, 1, 5, 3.531699, 3.529733
500000000.000000, 1, 6, 4.231313, 4.237643
500000000.000000, 1, 7, 4.937654, 4.949466
500000000.000000, 1, 8, 5.646878, 5.666342
500000000.000000, 1, 9, 6.347404, 6.387537
500000000.000000, 1, 10, 7.055707, 7.055147
500000000.000000, 1, 11, 7.765599, 7.784230
500000000.000000, 1, 12, 8.477816, 8.494732
500000000.000000, 1, 13, 9.176694, 9.196630
500000000.000000, 1, 14, 9.873925, 9.894427
500000000.000000, 1, 15, 10.590628, 10.605605
