Multiple, Synchronized, Thread Num, my_pthread Avg Time, Reg pthread Avg Time
1000000000.000000, 1, 1, 1.535983, 1.534442
1000000000.000000, 1, 2, 3.071731, 3.062753
1000000000.000000, 1, 3, 4.606155, 4.590868
1000000000.000000, 1, 4, 6.143672, 6.121581
1000000000.000000, 1, 5, 7.679938, 7.658635
1000000000.000000, 1, 6, 9.214951, 9.188540
1000000000.000000, 1, 7, 10.750238, 10.717366
1000000000.000000, 1, 8, 12.292215, 12.255259
1000000000.000000, 1, 9, 13.824855, 13.782654
1000000000.000000, 1, 10, 15.359761, 15.313072
1000000000.000000, 1, 11, 16.897545, 16.844772
1000000000.000000, 1, 12, 18.449718, 18.374712
1000000000.000000, 1, 13, 19.976650, 19.903858
1000000000.000000, 1, 14, 21.514950, 21.429043
1000000000.000000, 1, 15, 23.053289, 22.958263
